Q1,Q2,Q3,Q4,SC0,Random ID
6,2,3,1,1,451947
5,2,4,1,1,560733
6,1,7,1,1,743339
7,3,5,1,1,611775
6,1,5,1,1,942479
6,2,5,1,1,279107
2,1,3,1,1,631374
2,3,2,1,1,930808
3,1,4,1,1,148040
3,1,5,1,1,946573
3,3,2,2,1,852253
2,2,5,2,1,906662
9,3,5,1,1,734019
4,4,6,1,1,379132
5,3,5,1,1,780037
9,3,6,1,1,675616
8,3,6,1,1,866977
2,2,5,1,1,794533
3,2,2,2,1,796709
3,5,5,2,1,763239
9,2,5,1,1,402585
4,4,4,1,1,759152
8,2,5,1,1,418208
6,3,5,1,1,613029
6,3,6,1,1,929885
1,2,5,1,1,687675
4,5,2,1,1,542952
6,3,6,1,1,552825
6,2,5,1,1,624171
6,3,5,1,1,987910
11,2,5,1,1,504634
5,2,3,1,1,405742
6,2,5,1,1,267589
2,2,5,1,1,586855
10,4,5,1,1,861365
10,2,5,1,1,861003
4,3,3,1,1,784671
10,3,5,1,1,674357
10,5,5,1,1,657655
3,3,4,1,1,293687
3,2,5,1,1,394260
3,3,4,1,1,197815
5,3,5,2,1,126384
4,2,6,1,1,360693
7,3,5,2,1,325476
4,3,5,1,1,727758
2,3,5,1,1,772653
6,4,7,2,1,629212
1,2,5,1,1,525800
7,1,5,1,1,368619
5,3,5,1,1,701071
11,2,5,1,1,755976
10,3,7,1,1,235711
6,2,4,1,1,661362
5,2,4,1,1,398697
11,2,5,1,1,863166
8,6,5,1,1,521138
8,4,6,1,1,292524
8,2,3,1,1,237353
4,4,2,1,1,650674
10,2,6,1,1,523782
11,3,5,1,1,333139
3,2,5,2,1,587296
7,2,5,1,1,748147
4,2,5,1,1,469242
5,3,5,1,1,813552
11,5,5,1,1,942823
5,4,5,1,1,276864
1,3,4,2,1,607791
8,4,4,1,1,577563
4,2,5,2,1,413673
2,5,5,2,1,816954
7,6,7,1,1,588978
12,3,5,1,1,984730
5,1,3,2,1,512449
10,3,5,1,1,356795
8,3,5,1,1,158276
4,2,5,1,1,698728
1,2,4,2,1,471419
8,2,5,1,1,398518
5,3,3,1,1,613621
4,2,5,1,1,821570
4,1,4,1,1,352478
5,2,7,1,1,748172
6,2,6,1,1,104635
6,4,5,1,1,489463
7,3,5,2,1,330065
5,2,6,1,1,904010
4,3,6,1,1,627011
4,3,6,1,1,729698
5,2,7,1,1,760200
5,5,3,1,1,800540
3,2,5,1,1,835639
6,3,5,1,1,846210
1,3,2,1,1,948580
6,2,5,1,1,815294
3,3,4,1,1,713481
7,3,5,2,1,205547
1,5,6,1,1,462928
4,2,5,1,1,108583
2,2,5,1,1,676856
3,5,5,1,1,631849
3,2,5,1,1,756557
8,2,5,1,1,196584
3,2,5,2,1,732663
4,3,5,1,1,763381
2,2,5,1,1,537719
2,2,4,2,1,443086
2,5,5,2,1,373739
1,2,2,2,1,530403
3,3,5,1,1,540358
8,2,7,1,1,222475
5,2,4,1,1,983463
4,2,3,1,1,211447
8,2,6,1,1,320390
4,2,4,1,1,846105
1,3,4,2,1,155323
11,4,5,1,1,156703
2,2,5,1,1,714446
3,3,6,1,1,683756
9,1,5,2,1,810031
10,2,5,1,1,577742
1,3,5,1,1,412358
8,2,6,1,1,376414
6,2,6,1,1,493342
4,2,5,1,1,380448
6,3,5,1,1,214988
4,3,5,1,1,207960
6,2,5,1,1,966425
8,2,5,1,1,749567
5,2,5,1,1,664843
4,2,5,1,1,782100
7,5,5,1,1,249422
5,3,5,1,1,796504
11,3,6,1,1,336048
7,2,6,1,1,727064
4,1,5,1,1,179229
8,4,5,1,1,708131
9,2,4,1,1,980809
6,2,5,1,1,263806
6,2,4,1,1,913445
6,3,5,1,1,133657
2,2,4,1,1,129079
5,3,5,2,1,355147
2,2,5,1,1,943082
5,3,4,1,1,448960
6,3,5,1,1,996528
5,3,5,1,1,514606
6,2,5,1,1,935385
3,3,5,1,1,433537
6,2,5,1,1,843355
3,2,4,1,1,222453
10,3,5,1,1,562967
8,2,5,1,1,428365
6,3,5,1,1,129878
12,2,5,1,1,351706
6,3,5,1,1,582399
6,2,5,1,1,228691
2,3,5,1,1,526884
3,3,5,1,1,480999
1,2,3,1,1,661323
8,2,5,1,1,663275
5,2,5,1,1,507414
5,4,5,1,1,746008
11,3,4,1,1,639419
9,3,5,1,1,775249
7,2,5,1,1,158996
7,2,5,1,1,446362
2,2,4,1,1,207592
4,2,5,1,1,717068
1,2,7,1,1,298577
5,3,5,1,1,101520
4,2,2,1,1,420076
6,2,6,1,1,632207
8,2,6,1,1,719186
9,6,5,1,1,516615
5,4,5,1,1,145646
4,2,2,1,1,252121
2,2,6,1,1,764771
10,3,7,1,1,607456
4,5,5,1,1,731996
6,2,5,1,1,535295
2,3,4,2,1,242263
9,2,5,1,1,981089
5,6,5,1,1,458472
5,2,7,1,1,574490
1,3,6,1,1,932364
5,4,6,1,1,832539
3,3,5,1,1,324494
4,2,5,1,1,758437
4,3,6,1,1,625682
5,3,5,1,1,757955
8,3,5,1,1,905587
2,1,2,1,1,846484
6,2,5,2,1,292820
8,4,5,1,1,416761
6,2,5,1,1,420005
6,3,3,1,1,940301
5,2,5,2,1,398936
3,2,5,1,1,280715
5,2,6,1,1,550836
5,3,5,1,1,113443
3,2,5,1,1,238874
3,3,5,1,1,182998
7,2,5,1,1,590285
5,2,2,1,1,897948
6,3,5,1,1,264618
6,2,5,1,1,273763
4,2,5,1,1,306424
3,4,5,1,1,622405
11,2,5,1,1,391509
2,5,5,1,1,509907
3,2,5,1,1,928028
3,3,4,1,1,249760
5,2,5,1,1,144233
3,4,4,1,1,660778
8,2,5,1,1,457073
3,2,3,1,1,475134
5,3,5,1,1,347674
8,2,4,1,1,451952
4,2,5,1,1,329921
3,4,4,2,1,223168
8,2,6,1,1,408693
6,3,5,1,1,727602
6,3,5,1,1,688845
5,3,5,1,1,740568
6,2,5,1,1,117984
5,2,2,1,1,362060
8,4,5,1,1,948068
3,3,6,1,1,442867
6,2,5,1,1,899269
4,5,6,1,1,576616
4,2,5,1,1,581169
6,4,6,1,1,255748
6,4,3,1,1,982768
5,2,5,1,1,640648
10,3,5,1,1,995554
6,3,5,1,1,507371
5,5,5,1,1,603075
9,2,5,1,1,732095
3,1,2,1,1,166171
5,2,4,1,1,352246
5,2,5,1,1,686193
5,4,6,1,1,225706
6,2,5,1,1,609804
6,3,5,1,1,822535
11,2,5,1,1,117773
6,2,4,1,1,302891
8,3,5,1,1,673370
1,2,5,1,1,227955
7,3,5,1,1,126190
3,2,5,1,1,247898
2,2,5,1,1,747935
1,2,4,2,1,497844
4,2,5,1,1,220611
6,2,5,1,1,881424
11,3,5,1,1,739493
3,3,6,1,1,220202
4,3,2,1,1,847288
3,3,5,1,1,521762
5,2,5,1,1,451411
8,2,5,1,1,426768
3,3,5,1,1,241670
3,2,3,1,1,562577
5,2,6,1,1,673982
1,3,5,1,1,923599
6,2,5,1,1,559453
2,3,4,1,1,668051
6,1,5,1,1,519689
5,4,6,1,1,998095
2,3,5,1,1,172261
3,3,6,1,1,666288
5,2,5,1,1,782202
5,3,5,1,1,551248
7,4,7,1,1,939557
10,2,7,1,1,402481
6,2,6,1,1,611849
7,2,5,1,1,186856
