Duration,Q1,Q2,Q3,Q4,SC0,bonus,perturb1,perturb2,perturb3,pg1score
24,3,2,3,2,1,10,2,1,1,29
20,5,2,6,1,1,85,1,2,2,29
22,1,5,6,1,1,90,1,2,2,59
23,3,3,5,1,1,77,1,2,2,39
18,8,2,5,1,1,76,1,2,2,29
18,3,2,5,1,1,80,2,2,2,29
25,5,3,5,1,1,26,1,1,1,39
25,5,2,5,1,1,24,1,1,1,29
34,2,5,5,1,1,39,2,1,1,59
23,5,5,7,1,1,88,1,2,1,59
34,10,4,5,1,1,36,2,1,1,49
20,1,1,2,1,1,25,1,1,2,21
27,6,3,5,1,1,44,2,1,2,39
17,5,1,5,1,1,78,2,2,2,21
22,7,2,3,1,1,29,1,1,2,29
20,4,4,5,1,1,87,2,2,2,49
13,3,3,5,1,1,32,2,1,1,39
23,2,1,5,2,1,11,1,1,2,21
22,6,2,5,2,1,12,1,1,2,29
30,7,3,6,1,1,75,1,2,1,39
14,1,3,3,1,1,30,1,1,2,39
29,6,2,5,1,1,41,2,1,2,29
18,9,6,5,1,1,31,1,1,1,69
17,6,3,6,1,1,82,2,2,1,39
47,1,2,2,1,1,31,2,1,2,29
26,3,3,3,1,1,30,1,1,2,39
48,2,4,5,2,1,16,1,1,2,49
28,8,2,5,1,1,36,1,1,2,29
39,5,1,5,1,1,66,2,2,1,21
43,3,2,5,1,1,64,1,2,1,29
42,6,3,7,1,1,97,1,2,2,39
57,11,4,6,1,1,32,1,1,1,49
57,7,2,5,1,1,41,2,1,2,29
39,6,3,6,1,1,87,1,2,2,39
33,1,2,4,2,1,47,2,2,2,29
36,6,4,5,1,1,36,2,1,1,49
49,2,3,5,1,1,84,2,2,2,39
36,11,4,4,1,1,43,2,1,2,49
27,4,2,5,2,1,52,1,2,2,29
65,10,3,6,1,1,75,1,2,1,39
65,3,2,7,1,1,51,2,1,2,29
27,3,2,5,1,1,29,2,1,1,29
56,4,3,5,1,1,77,1,2,2,39
52,3,3,5,2,1,60,2,2,2,39
35,5,2,6,1,1,46,2,1,2,29
38,3,3,6,2,1,70,2,2,1,39
74,4,3,3,1,1,50,1,2,1,39
50,3,4,7,1,1,49,1,1,2,49
65,1,2,4,2,1,7,1,1,1,29
25,3,3,7,1,1,103,2,2,2,39
40,6,3,5,1,1,77,1,2,2,39
118,6,4,5,1,1,36,2,1,1,49
92,1,3,5,1,1,26,1,1,1,39
55,2,3,5,1,1,72,2,2,1,39
28,4,2,4,1,1,36,2,1,2,29
24,5,2,5,1,1,64,1,2,1,29
31,6,4,5,1,1,75,2,2,1,49
44,1,4,6,2,1,20,1,1,1,49
22,9,1,6,1,1,88,2,2,2,21
22,4,2,4,1,1,59,2,2,1,29
40,7,2,5,1,1,24,1,1,1,29
46,5,2,7,1,1,95,1,2,2,29
41,6,4,5,1,1,48,2,1,2,49
21,7,2,6,1,1,78,2,2,1,29
17,5,4,3,1,1,40,2,1,2,49
59,5,2,5,2,1,52,1,2,2,29
34,6,6,6,1,1,92,2,2,1,69
27,5,2,4,1,1,54,1,2,1,29
36,9,3,7,1,1,97,1,2,2,39
30,11,3,5,1,1,44,2,1,2,39
30,3,2,3,1,1,49,1,2,1,29
49,4,2,2,1,1,56,1,2,2,29
25,3,2,5,1,1,41,2,1,2,29
74,2,3,5,2,1,14,1,1,1,39
51,8,2,5,2,1,12,1,1,2,29
39,6,3,4,1,1,62,2,2,1,39
17,9,3,7,1,1,54,2,1,2,39
30,10,4,5,2,1,16,1,1,1,49
50,4,3,7,1,1,42,2,1,1,39
19,10,2,5,1,1,41,2,1,2,29
73,5,2,2,1,1,49,2,2,1,29
56,5,4,5,1,1,28,1,1,1,49
31,4,4,2,1,1,59,1,2,2,49
21,8,4,7,1,1,99,1,2,2,49
20,12,2,7,2,1,22,1,1,2,29
41,7,2,5,1,1,24,1,1,1,29
32,9,5,5,2,1,57,1,2,1,59
25,8,2,7,1,1,51,2,1,2,29
17,1,2,2,2,1,2,1,1,1,29
13,6,3,5,1,1,77,1,2,2,39
59,4,4,5,1,1,28,1,1,1,49
50,4,4,5,1,1,36,2,1,1,49
20,8,2,5,1,1,24,1,1,1,29
49,6,4,5,1,1,87,2,2,2,49
118,4,4,5,1,1,,2,1,1,
25,5,1,3,1,1,31,2,1,2,21
69,7,2,5,1,1,24,1,1,1,29
15,3,2,5,1,1,80,2,2,2,29
62,4,2,5,1,1,64,1,2,1,29
29,7,2,2,1,1,19,2,1,1,29
541,5,3,5,1,1,77,1,2,2,39
366,8,4,7,1,1,45,2,1,1,49
9,6,2,3,1,1,54,2,2,1,29
25,6,2,7,1,1,34,1,1,1,29
15,8,2,5,1,1,64,1,2,1,29
19,7,2,6,1,1,85,1,2,2,29
30,4,2,5,1,1,24,1,1,1,29
22,10,3,5,1,1,26,1,1,1,39
19,5,3,4,1,1,21,1,1,1,39
22,4,2,5,1,1,24,1,1,1,29
27,7,2,2,1,1,44,1,2,1,29
19,7,3,5,1,1,72,2,2,1,39
28,8,3,5,1,1,38,1,1,2,39
15,1,1,7,2,1,74,2,2,2,21
23,4,2,4,1,1,36,2,1,2,29
17,2,2,3,1,1,49,1,2,1,29
28,4,2,4,1,1,24,2,1,1,29
17,6,3,5,1,1,84,2,2,2,39
22,6,2,6,1,1,46,2,1,2,29
43,11,4,5,1,1,48,2,1,2,49
25,7,3,2,1,1,16,1,1,1,39
25,6,3,6,1,1,31,1,1,1,39
43,9,3,6,1,1,37,2,1,1,39
20,2,1,5,1,1,38,2,1,2,21
28,1,3,4,2,1,50,2,2,2,39
27,6,3,4,1,1,33,1,1,2,39
18,1,3,2,2,1,34,1,2,1,39
31,11,3,5,1,1,84,2,2,2,39
11,7,4,5,1,1,75,2,2,1,49
38,6,3,5,1,1,32,2,1,1,39
22,3,2,6,1,1,41,1,1,2,29
37,7,1,6,1,1,40,1,1,2,21
56,6,2,5,1,1,29,2,1,1,29
26,6,3,5,1,1,65,1,2,1,39
42,3,3,5,1,1,44,2,1,2,39
93,5,2,3,1,1,29,1,1,2,29
27,5,2,5,1,1,68,2,2,1,29
37,3,2,5,1,1,36,1,1,2,29
18,11,2,6,1,1,85,1,2,2,29
26,8,5,5,1,1,39,2,1,1,59
49,6,3,7,1,1,48,1,1,2,39
32,12,3,7,1,1,42,2,1,1,39
63,8,2,5,1,1,29,2,1,1,29
22,6,2,5,1,1,64,1,2,1,29
39,2,5,3,1,1,44,2,1,2,59
26,7,2,7,1,1,46,1,1,2,29
58,3,3,5,1,1,38,1,1,2,39
34,7,3,7,1,1,42,2,1,1,39
35,6,2,6,1,1,90,2,2,2,29
29,4,3,5,2,1,53,1,2,2,39
35,2,2,5,1,1,64,1,2,1,29
29,4,2,5,2,1,12,1,1,1,29
26,9,4,5,1,1,48,2,1,2,49
26,6,3,5,1,1,72,2,2,1,39
94,5,3,5,1,1,72,2,2,1,39
35,3,2,3,1,1,49,1,2,1,29
43,6,3,5,1,1,72,2,2,1,39
24,2,4,6,1,1,85,2,2,1,49
28,5,3,5,1,1,38,1,1,2,39
45,3,4,5,1,1,28,1,1,1,49
50,1,3,4,1,1,55,1,2,1,39
25,5,2,5,2,1,17,2,1,1,29
57,11,3,5,1,1,38,1,1,2,39
30,5,2,2,1,1,14,1,1,1,29
79,5,2,6,1,1,46,2,1,2,29
15,6,1,5,1,1,78,2,2,2,21
42,4,2,4,1,1,59,2,2,1,29
78,5,3,5,1,1,77,1,2,2,39
25,10,2,5,1,1,29,2,1,1,29
21,9,2,5,1,1,76,1,2,2,29
53,2,2,2,1,1,19,2,1,1,29
21,3,2,6,1,1,90,2,2,2,29
22,9,1,5,1,1,38,2,1,2,21
42,7,5,4,1,1,59,1,2,1,59
71,6,4,7,1,1,87,1,2,1,49
31,10,3,6,1,1,82,2,2,1,39
35,12,3,2,1,1,28,1,1,2,39
28,2,2,4,2,1,7,1,1,2,29
38,2,2,5,1,1,80,2,2,2,29
58,1,2,4,1,1,31,1,1,2,29
24,6,2,5,1,1,64,1,2,1,29
51,4,2,2,1,1,44,1,2,1,29
29,5,2,5,1,1,24,1,1,1,29
23,4,2,5,1,1,36,1,1,2,29
27,1,5,3,1,1,32,2,1,1,59
29,2,5,3,1,1,64,2,2,1,59
34,2,2,5,2,1,56,2,2,1,29
77,8,4,5,1,1,28,1,1,1,49
31,11,2,6,1,1,34,2,1,1,29
21,3,2,5,1,1,64,1,2,1,29
20,6,3,5,1,1,38,1,1,2,39
22,6,3,5,1,1,44,2,1,2,39
32,10,4,5,1,1,87,2,2,2,49
20,6,3,7,1,1,54,2,1,2,39
25,5,3,4,1,1,74,2,2,2,39
78,5,2,7,1,1,51,2,1,2,29
97,7,3,4,1,1,33,1,1,2,39
20,8,2,5,1,1,64,1,2,1,29
23,2,2,2,2,1,2,1,1,1,29
21,6,3,6,1,1,82,2,2,1,39
81,6,4,7,1,1,49,1,1,2,49
21,2,5,5,1,1,90,2,2,2,59
75,10,3,5,1,1,65,1,2,1,39
26,5,2,5,1,1,80,2,2,2,29
23,8,3,4,1,1,62,2,2,1,39
26,12,3,6,1,1,31,1,1,1,39
14,10,4,6,1,1,53,2,1,2,49
32,4,3,5,2,1,53,1,2,2,39
28,6,5,5,1,1,78,2,2,1,59
18,12,1,5,1,1,74,1,2,2,21
75,6,2,5,1,1,29,2,1,1,29
20,2,3,5,1,1,65,1,2,1,39
35,4,5,5,1,1,90,2,2,2,59
32,5,1,2,2,1,34,2,2,2,21
17,1,3,4,1,1,39,2,1,2,39
24,3,4,4,1,1,69,1,2,2,49
36,3,3,5,1,1,32,2,1,1,39
29,3,2,5,1,1,76,1,2,2,29
22,4,1,4,2,1,40,1,2,1,21
44,4,2,5,1,1,36,1,1,2,29
19,11,2,2,2,1,2,1,1,2,29
17,6,2,5,1,1,64,1,2,1,29
34,4,4,5,1,1,28,1,1,1,49
23,4,2,4,2,1,42,1,2,2,29
29,3,4,5,1,1,36,2,1,1,49
61,7,2,5,1,1,24,1,1,1,29
34,5,2,5,1,1,64,1,2,1,29
50,6,3,5,1,1,26,1,1,1,39
34,2,2,6,2,1,62,1,2,2,29
17,5,4,5,1,1,75,2,2,1,49
49,1,3,5,1,1,65,1,2,1,39
34,7,2,6,1,1,41,1,1,2,29
20,5,3,4,1,1,74,2,2,2,39
35,6,4,5,1,1,48,2,1,2,49
45,4,2,5,1,1,24,1,1,1,29
17,11,3,5,1,1,26,1,1,1,39
87,9,2,5,1,1,80,2,2,2,29
21,4,3,5,1,1,65,1,2,1,39
35,5,4,2,1,1,38,2,1,2,49
36,12,2,7,1,1,51,2,1,2,29
28,4,2,6,1,1,46,2,1,2,29
26,2,3,5,1,1,72,2,2,1,39
17,6,3,5,1,1,65,1,2,1,39
27,5,4,6,1,1,41,2,1,1,49
34,3,2,6,1,1,73,1,2,1,29
50,6,2,5,1,1,41,2,1,2,29
16,6,1,3,2,1,39,2,2,2,21
20,5,2,5,1,1,24,1,1,1,29
30,4,3,3,1,1,30,1,1,2,39
46,10,2,6,1,1,78,2,2,1,29
24,5,2,5,1,1,68,2,2,1,29
29,1,1,4,2,1,40,1,2,2,21
32,8,2,6,1,1,85,1,2,2,29
41,6,2,5,1,1,76,1,2,2,29
42,5,5,5,1,1,69,1,2,1,59
49,5,4,6,1,1,89,1,2,2,49
61,4,6,3,1,1,35,2,1,1,69
19,3,3,5,2,1,14,1,1,2,39
32,5,2,3,1,1,49,1,2,1,29
47,9,2,5,1,1,24,1,1,1,29
29,2,5,5,1,1,41,1,1,2,59
48,11,4,5,1,1,67,1,2,1,49
22,4,4,5,1,1,48,2,1,2,49
19,1,2,4,2,1,7,1,1,2,29
35,5,2,5,1,1,41,2,1,2,29
59,9,3,3,1,1,69,2,2,2,39
25,4,3,6,1,1,43,1,1,2,39
24,1,4,7,2,1,83,2,2,2,49
61,3,4,4,1,1,31,2,1,1,49
12,12,3,5,1,1,38,1,1,2,39
84,5,2,6,1,1,85,1,2,2,29
22,6,4,5,1,1,79,1,2,2,49
35,11,1,5,1,1,35,1,1,2,21
59,3,2,4,2,1,47,2,2,1,29
14,3,3,5,1,1,38,1,1,2,39
16,8,2,7,1,1,34,1,1,1,29
26,8,3,3,1,1,62,1,2,2,39
30,4,1,4,1,1,56,2,2,1,21
31,1,3,3,2,1,45,2,2,2,39
26,5,5,5,1,1,81,1,2,2,59
52,8,2,5,1,1,24,1,1,1,29
14,5,5,5,1,1,39,2,1,1,59
15,12,3,5,1,1,77,1,2,2,39
32,2,3,5,1,1,32,2,1,1,39
40,6,2,5,1,1,41,2,1,2,29
42,7,2,5,1,1,29,2,1,1,29
32,2,2,4,1,1,31,1,1,2,29
49,5,4,7,1,1,87,1,2,1,49
22,4,3,5,1,1,26,1,1,1,39
20,8,3,5,1,1,32,2,1,1,39
40,5,2,5,2,1,56,2,2,1,29
16,1,1,5,2,1,14,2,1,2,21
19,3,4,7,1,1,49,1,1,2,49
32,6,3,7,1,1,54,2,1,2,39
32,4,3,7,1,1,85,1,2,1,39
43,7,2,5,1,1,68,2,2,1,29
29,9,2,5,1,1,41,2,1,2,29
24,2,1,3,1,1,19,2,1,1,21
39,5,2,5,1,1,76,1,2,2,29
118,5,4,6,1,1,89,1,2,2,49
21,3,2,5,1,1,36,1,1,2,29
16,4,3,4,1,1,21,1,1,1,39
17,9,2,6,1,1,78,2,2,1,29
18,1,3,4,1,1,74,2,2,2,39
22,4,2,3,1,1,34,2,1,2,29
23,11,3,6,1,1,94,2,2,2,39
18,2,1,1,2,1,0,2,1,2,21
25,5,2,5,1,1,41,2,1,2,29
22,1,1,5,1,1,78,2,2,2,21
14,2,4,5,1,1,48,2,1,2,49
36,1,3,6,1,1,94,2,2,2,39
