Status,IPAddress,Progress,Duration (in seconds),Finished,UserLanguage,Q1,Q2,Q3,Q4,Random ID,bonus,perturb1,perturb2,perturb3,pg1score
0,139.55.112.96,100,9,1,EN,6,2,3,1,880174,54,2,2,1,29
0,71.204.170.129,100,25,1,EN,6,2,7,1,254886,34,1,1,1,29
0,73.85.207.29,100,15,1,EN,8,2,5,1,388337,64,1,2,1,29
0,73.190.72.66,100,19,1,EN,7,2,6,1,215009,85,1,2,2,29
0,76.101.179.206,100,30,1,EN,4,2,5,1,407706,24,1,1,1,29
0,107.181.168.9,100,22,1,EN,10,3,5,1,688135,26,1,1,1,39
0,73.79.166.153,100,19,1,EN,5,3,4,1,883938,21,1,1,1,39
0,67.169.152.90,100,22,1,EN,4,2,5,1,939869,24,1,1,1,29
0,71.50.79.51,100,27,1,EN,7,2,2,1,476967,44,1,2,1,29
0,65.213.144.57,100,19,1,EN,7,3,5,1,461895,72,2,2,1,39
0,68.14.9.25,100,28,1,EN,8,3,5,1,907215,38,1,1,2,39
0,68.204.215.48,100,15,1,EN,1,1,7,2,839112,74,2,2,2,21
0,173.93.230.117,100,23,1,EN,4,2,4,1,393430,36,2,1,2,29
0,154.16.89.188,100,17,1,EN,2,2,3,1,621238,49,1,2,1,29
0,96.70.26.57,100,28,1,EN,4,2,4,1,290681,24,2,1,1,29
0,69.140.61.71,100,17,1,EN,6,3,5,1,772735,84,2,2,2,39
0,181.215.90.63,100,22,1,EN,6,2,6,1,381135,46,2,1,2,29
0,12.221.21.240,100,43,1,EN,11,4,5,1,768141,48,2,1,2,49
0,216.228.91.9,100,25,1,EN,7,3,2,1,792439,16,1,1,1,39
0,186.179.8.75,100,25,1,EN,6,3,6,1,680026,31,1,1,1,39
0,107.15.162.125,100,43,1,EN,9,3,6,1,858755,37,2,1,1,39
0,75.110.97.51,100,20,1,EN,2,1,5,1,826940,38,2,1,2,21
0,76.105.152.14,100,28,1,EN,1,3,4,2,805582,50,2,2,2,39
0,68.50.145.218,100,27,1,EN,6,3,4,1,179405,33,1,1,2,39
0,47.155.60.244,100,18,1,EN,1,3,2,2,919262,34,1,2,1,39
0,72.203.74.27,100,31,1,EN,11,3,5,1,761288,84,2,2,2,39
0,69.140.61.71,100,11,1,EN,7,4,5,1,293881,75,2,2,1,49
0,181.215.145.127,100,38,1,EN,6,3,5,1,565806,32,2,1,1,39
0,50.114.84.226,100,22,1,EN,3,2,6,1,722208,41,1,1,2,29
0,76.169.135.96,100,37,1,EN,7,1,6,1,907593,40,1,1,2,21
0,191.96.97.58,100,56,1,EN,6,2,5,1,910561,29,2,1,1,29
0,72.189.199.15,100,26,1,EN,6,3,5,1,636381,65,1,2,1,39
0,74.94.126.99,100,42,1,EN,3,3,5,1,239319,44,2,1,2,39
0,107.139.92.71,100,93,1,EN,5,2,3,1,300556,29,1,1,2,29
0,198.228.173.12,100,27,1,EN,5,2,5,1,103988,68,2,2,1,29
0,209.161.89.24,100,37,1,EN,3,2,5,1,992802,36,1,1,2,29
0,108.20.195.184,100,18,1,EN,11,2,6,1,884955,85,1,2,2,29
0,71.198.7.180,100,26,1,EN,8,5,5,1,747693,39,2,1,1,59
0,174.45.168.72,100,49,1,EN,6,3,7,1,592331,48,1,1,2,39
0,72.190.73.99,100,32,1,EN,12,3,7,1,579923,42,2,1,1,39
0,45.157.120.199,100,63,1,EN,8,2,5,1,984759,29,2,1,1,29
0,75.134.246.127,100,22,1,EN,6,2,5,1,351061,64,1,2,1,29
0,108.95.125.129,100,39,1,EN,2,5,3,1,232225,44,2,1,2,59
0,98.212.214.93,100,26,1,EN,7,2,7,1,545075,46,1,1,2,29
0,73.151.111.74,100,58,1,EN,3,3,5,1,435504,38,1,1,2,39
0,12.218.182.74,100,34,1,EN,7,3,7,1,929925,42,2,1,1,39
0,198.228.81.116,100,35,1,EN,6,2,6,1,284549,90,2,2,2,29
0,24.15.204.121,100,29,1,EN,4,3,5,2,846126,53,1,2,2,39
