Duration (in seconds),Q1,Q2,Q3,Q4,bonus,perturb1,perturb2,perturb3
15,3,2,5,1,76,2,2,2
30,2,3,5,2,18,1,1,1
11,5,2,7,1,97,2,2,2
21,5,1,5,1,30,2,1,2
24,4,2,5,2,64,2,2,2
35,6,2,6,2,21,1,1,1
32,8,2,5,1,28,1,1,2
25,6,2,6,1,81,1,2,2
26,2,2,2,2,37,1,2,2
25,3,2,2,1,16,2,1,1
29,2,2,5,2,21,2,1,2
26,2,1,2,1,16,1,1,2
14,3,2,5,1,27,2,1,1
22,3,6,5,1,35,1,1,2
22,5,2,5,1,76,2,2,2
27,3,3,5,1,37,2,1,2
22,6,2,5,1,76,2,2,2
37,5,2,6,1,86,2,2,2
34,10,5,6,1,97,2,2,2
35,5,6,5,1,29,1,1,1
13,5,1,5,1,30,2,1,2
28,2,2,5,2,21,2,1,1
16,4,1,5,1,73,2,2,2
27,7,3,4,1,68,2,2,2
44,10,3,5,1,37,2,1,2
39,4,3,4,1,18,1,1,1
36,6,3,6,1,77,1,2,1
29,6,2,7,1,92,1,2,2
27,9,3,5,1,73,2,2,1
63,3,1,2,1,20,2,1,2
40,10,2,5,1,76,2,2,2
28,10,4,5,1,68,1,2,1
36,6,2,7,1,92,1,2,2
32,4,3,5,1,72,1,2,2
56,1,3,4,2,12,1,1,2
37,6,3,5,1,24,1,1,1
22,3,3,5,2,18,1,1,1
38,8,3,5,1,72,1,2,2
17,4,3,5,1,24,1,1,1
33,6,5,5,1,76,1,2,2
27,5,2,5,1,27,2,1,1
28,5,2,6,1,75,1,2,1
23,4,2,5,1,76,2,2,2
18,6,2,6,1,75,1,2,1
43,6,3,2,1,13,1,1,1
31,2,2,5,1,28,1,1,2
72,6,4,6,1,45,2,1,2
18,6,2,5,1,27,2,1,1
104,11,2,4,1,28,2,1,2
25,7,2,5,1,33,2,1,2
34,8,2,5,1,33,2,1,2
28,1,3,7,1,93,1,2,2
30,5,2,6,1,33,1,1,2
96,5,5,7,1,54,2,1,2
16,6,1,5,1,73,2,2,2
20,7,3,5,1,73,2,2,1
19,6,2,7,1,86,1,2,1
56,10,5,5,1,80,2,2,1
63,6,4,6,2,81,2,2,1
46,10,3,2,1,26,2,1,2
36,5,5,5,1,33,1,1,2
97,3,3,5,1,73,2,2,1
13,7,2,3,1,54,2,2,1
19,9,1,5,2,15,1,1,2
37,11,2,5,1,27,2,1,1
37,5,3,5,1,79,2,2,2
20,5,4,5,1,68,1,2,1
60,9,4,4,1,66,2,2,1
61,4,2,5,1,22,1,1,1
58,6,6,7,1,58,2,1,2
21,6,5,5,1,37,2,1,1
48,6,3,5,1,66,1,2,1
14,3,2,2,1,49,1,2,2
18,1,2,3,1,20,1,1,2
